"Package","Version","Built","LibPath"
"BiocManager","1.30.27","4.5.3","renv/library"
"DBI","1.2.3","4.5.1","renv/library"
"DT","0.34.0","4.5.3","renv/library"
"Epi","2.65","4.5.3","renv/library"
"FNN","1.1.4.1","4.5.3","renv/library"
"HighFreq","0.1","4.5.1","renv/library"
"KernSmooth","2.23-26","4.5.1","renv/library"
"MASS","7.3-65","4.5.1","renv/library"
"Matrix","1.7-3","4.5.1","renv/library"
"R.methodsS3","1.8.2","4.5.2","renv/library"
"R.oo","1.27.1","4.5.2","renv/library"
"R.utils","2.13.0","4.5.3","renv/library"
"R6","2.6.1","4.5.1","renv/library"
"RColorBrewer","1.1-3","4.5.0","renv/library"
"RNetCDF","2.11-1","4.5.3","renv/library"
"RPostgreSQL","0.7-8","4.5.3","renv/library"
"RPostgres","1.4.10","4.5.3","renv/library"
"RSQLite","2.4.3","4.5.1","renv/library"
"Rcpp","1.1.1-1.1","4.5.3","renv/library"
"RcppArmadillo","15.2.6-1","4.5.3","renv/library"
"S7","0.2.2","4.5.3","renv/library"
"SWATdoctR","0.1.30","4.5.1","renv/library"
"SWATfarmR","4.0.5","4.5.1","renv/library"
"SWATmeasR","0.9.4","4.5.1","renv/library"
"SWATprepR","1.0.16","4.5.1","renv/library"
"SWATreadR","0.1.0.9014","4.5.1","renv/library"
"SWATrunR","1.1.0.9019","4.5.1","renv/library"
"SWATtunR","0.3.15","4.5.1","renv/library"
"TTR","0.24.4","4.5.3","renv/library"
"XML","3.99-0.23","4.5.3","renv/library"
"abind","1.4-8","4.5.2","renv/library"
"askpass","1.2.1","4.5.1","renv/library"
"backports","1.5.0","4.5.0","renv/library"
"base64enc","0.1-3","4.5.0","renv/library"
"bit","4.6.0","4.5.1","renv/library"
"bit64","4.6.0-1","4.5.1","renv/library"
"blob","1.2.4","4.5.1","renv/library"
"brew","1.0-10","4.5.3","renv/library"
"brio","1.1.5","4.5.3","renv/library"
"broom","1.0.9","4.5.1","renv/library"
"bslib","0.9.0","4.5.1","renv/library"
"cachem","1.1.0","4.5.1","renv/library"
"callr","3.7.6","4.5.1","renv/library"
"cellranger","1.1.0","4.5.1","renv/library"
"class","7.3-23","4.5.1","renv/library"
"classInt","0.4-11","4.5.1","renv/library"
"cli","3.6.5","4.5.1","renv/library"
"clipr","0.8.0","4.5.1","renv/library"
"cmprsk","2.2-12","4.5.3","renv/library"
"colorspace","2.1-2","4.5.3","renv/library"
"cols4all","0.10","4.5.3","renv/library"
"commonmark","2.0.0","4.5.3","renv/library"
"conflicted","1.2.0","4.5.1","renv/library"
"covr","3.6.5","4.5.3","renv/library"
"cpp11","0.5.2","4.5.1","renv/library"
"crayon","1.5.3","4.5.1","renv/library"
"credentials","2.0.3","4.5.3","renv/library"
"crosstalk","1.2.2","4.5.3","renv/library"
"curl","6.4.0","4.5.1","renv/library"
"data.table","1.17.8","4.5.1","renv/library"
"dbplyr","2.5.0","4.5.1","renv/library"
"deldir","2.0-4","4.5.2","renv/library"
"desc","1.4.3","4.5.3","renv/library"
"devtools","2.5.2","4.5.3","renv/library"
"diffobj","0.3.6","4.5.3","renv/library"
"digest","0.6.37","4.5.1","renv/library"
"doParallel","1.0.17","4.5.3","renv/library"
"doSNOW","1.0.20","4.5.1","renv/library"
"downlit","0.4.5","4.5.3","renv/library"
"dplyr","1.1.4","4.5.1","renv/library"
"dtplyr","1.3.1","4.5.1","renv/library"
"dygraphs","1.1.1.6","4.5.1","renv/library"
"e1071","1.7-16","4.5.1","renv/library"
"ellipsis","0.3.3","4.5.3","renv/library"
"etm","1.1.2","4.5.3","renv/library"
"evaluate","1.0.4","4.5.1","renv/library"
"fansi","1.0.7","4.5.3","renv/library"
"farver","2.1.2","4.5.1","renv/library"
"fastmap","1.2.0","4.5.1","renv/library"
"fmsb","0.7.6","4.5.3","renv/library"
"foghorn","1.6.1","4.5.3","renv/library"
"fontawesome","0.5.3","4.5.1","renv/library"
"forcats","1.0.0","4.5.1","renv/library"
"foreach","1.5.2","4.5.1","renv/library"
"fs","2.1.0","4.5.3","renv/library"
"gargle","1.5.2","4.5.1","renv/library"
"generics","0.1.4","4.5.1","renv/library"
"geojsonsf","2.0.5","4.5.3","renv/library"
"geometries","0.2.5","4.5.3","renv/library"
"gert","2.3.1","4.5.3","renv/library"
"ggplot2","3.5.2","4.5.1","renv/library"
"ggrepel","0.9.8","4.5.3","renv/library"
"gh","1.6.0","4.5.3","renv/library"
"gitcreds","0.1.2","4.5.3","renv/library"
"glue","1.8.0","4.5.1","renv/library"
"goftest","1.2-3","4.5.2","renv/library"
"googledrive","2.1.1","4.5.1","renv/library"
"googlesheets4","1.1.1","4.5.1","renv/library"
"gridExtra","2.3","4.5.2","renv/library"
"gstat","2.1-6","4.5.3","renv/library"
"gtable","0.3.6","4.5.1","renv/library"
"haven","2.5.5","4.5.1","renv/library"
"highr","0.11","4.5.1","renv/library"
"hms","1.1.3","4.5.1","renv/library"
"htmltools","0.5.8.1","4.5.1","renv/library"
"htmlwidgets","1.6.4","4.5.1","renv/library"
"httpuv","1.6.17","4.5.3","renv/library"
"httr","1.4.7","4.5.1","renv/library"
"httr2","1.2.2","4.5.3","renv/library"
"hunspell","3.0.6","4.5.3","renv/library"
"hydroGOF","0.6-0.1","4.5.1","renv/library"
"hydroTSM","0.7-0.1","4.5.1","renv/library"
"ids","1.0.1","4.5.1","renv/library"
"ini","0.3.1","4.5.3","renv/library"
"intervals","0.15.5","4.5.2","renv/library"
"isoband","0.2.7","4.5.1","renv/library"
"iterators","1.0.14","4.5.1","renv/library"
"jquerylib","0.1.4","4.5.1","renv/library"
"jsonify","1.2.3","4.5.3","renv/library"
"jsonlite","2.0.0","4.5.1","renv/library"
"knitr","1.50","4.5.1","renv/library"
"labeling","0.4.3","4.5.0","renv/library"
"later","1.4.8","4.5.3","renv/library"
"lattice","0.22-7","4.5.1","renv/library"
"lazyeval","0.2.3","4.5.3","renv/library"
"leafem","0.2.5","4.5.3","renv/library"
"leafgl","0.2.4","4.5.3","renv/library"
"leaflegend","1.2.8","4.5.3","renv/library"
"leaflet","2.2.3","4.5.3","renv/library"
"leaflet.providers","3.0.0","4.5.3","renv/library"
"leafpop","0.1.0","4.5.3","renv/library"
"leafsync","0.1.0","4.5.3","renv/library"
